Id,SalePrice
1461,116804.4284481725
1462,155448.3465344311
1463,179344.55098795798
1464,192688.7533093176
1465,196477.37911277238
1466,171358.03787164527
1467,175900.42283524442
1468,158723.0602455906
1469,198905.52208864762
1470,118728.52021409926
1471,185064.22476992174
1472,100326.79889739442
1473,95633.4406702919
1474,142259.9413224435
1475,106946.08943768135
1476,361665.704031434
1477,241967.55773333172
1478,299769.0459878112
1479,298321.3744581687
1480,463054.74377047067
1481,322535.9237043677
1482,210871.89093191983
1483,177448.2076959188
1484,158949.20372527122
1485,197768.34329875675
1486,193917.97004703849
1487,329077.96143716434
1488,229752.58107777874
1489,189600.24487362304
1490,235050.65082551542
1491,196411.37304521658
1492,92518.55960276071
1493,191675.08262769488
1494,289009.0530504593
1495,290839.44561721745
1496,232196.35208598053
1497,178949.38738208517
1498,171690.75825214828
1499,167040.36774431594
1500,159756.4634708535
1501,175741.1307932027
1502,146526.52447624004
1503,280389.53030311473
1504,243111.35012938222
1505,222797.67983155994
1506,186697.83066885543
1507,242810.8992965426
1508,200901.92364421074
1509,161390.24034958475
1510,142942.23992641503
1511,150073.14972717816
1512,171767.7547700938
1513,154459.57051221395
1514,149270.95659090215
1515,188250.98693301817
1516,155896.67679403507
1517,176147.79067042598
1518,132258.3727154853
1519,208034.93070427235
1520,127413.95718482792
1521,129572.40340525437
1522,178375.1786265881
1523,112602.11683972234
1524,126011.21785748168
1525,116916.60633684816
1526,110632.63080607876
1527,109684.34055881348
1528,140015.99607377575
1529,150574.0988195238
1530,180900.36727376972
1531,111005.96076576771
1532,95042.11280681823
1533,143499.11528889812
1534,127119.13853601359
1535,145005.44499792566
1536,105358.20501715485
1537,58518.429160278945
1538,142779.72942868678
1539,191291.21702414082
1540,94382.5017899462
1541,138820.3436124475
1542,143816.41061436612
1543,184126.24273219798
1544,86247.69698830675
1545,115868.050152151
1546,136063.40108910232
1547,128816.0692396251
1548,136977.57852045944
1549,120243.5119011697
1550,134124.31265188762
1551,106155.53482503185
1552,134802.13922366366
1553,144539.11671866893
1554,116740.37794492669
1555,158153.15549993597
1556,84171.464727414
1557,101511.39937076568
1558,104345.75591262079
1559,60226.410421196546
1560,134433.5268700078
1561,123470.57668323605
1562,131572.86087015487
1563,119694.09302414638
1564,151265.71970234154
1565,150114.87878240785
1566,237228.35006797282
1567,79746.18731971875
1568,233964.45940896004
1569,128800.48376643522
1570,142066.22966226673
1571,131308.93158775088
1572,142472.55234981902
1573,235195.9023343572
1574,120801.76691179724
1575,225042.18292631165
1576,241199.7771178103
1577,177898.5620614553
1578,150586.42389436095
1579,142333.0040355348
1580,196755.19831423275
1581,155404.75764084325
1582,122795.77105772152
1583,276342.29452190164
1584,214763.52781026732
1585,134444.4719053974
1586,65503.039080780996
1587,107595.96810383708
1588,154870.45051726952
1589,95453.00851099129
1590,136191.05038170464
1591,92738.57858118566
1592,118393.34845978442
1593,126412.63727088555
1594,124047.38585079506
1595,107056.77500393245
1596,218733.81852763903
1597,198146.74925014898
1598,233639.63644346313
1599,168246.17454526684
1600,157343.45373104545
1601,64511.04551366956
1602,119360.2054371538
1603,71100.64306697439
1604,263978.01383932744
1605,242425.61902921082
1606,166830.4893778182
1607,171437.74405369716
1608,220115.2820554362
1609,179383.81009217756
1610,151093.22494499478
1611,144548.90797710113
1612,170819.3580116166
1613,161041.11628592951
1614,128656.48537791375
1615,95251.48274895932
1616,81019.977879061
1617,95029.61135987833
1618,124459.76572561223
1619,135339.56729621027
1620,143496.9430844722
1621,140159.86889331602
1622,141116.17161577207
1623,257984.54471427
1624,213160.0761590724
1625,116730.46873302376
